Timestamp,Station_Name,Humidity,Temperature,Precipitation
1551349357.0,La Tuilerie,61.0,16.9,0.0
1551350284.0,La Tuilerie,57.0,17.8,0.0
1551351210.0,La Tuilerie,52.0,19.2,0.0
1551352136.0,La Tuilerie,45.0,20.7,0.0
1551353063.0,La Tuilerie,41.0,21.8,0.0
1551353988.0,La Tuilerie,39.0,22.2,0.0
1551354915.0,La Tuilerie,37.0,22.3,0.0
1551356769.0,La Tuilerie,36.0,24.1,0.0
1551357695.0,La Tuilerie,30.0,24.1,0.0
1551358622.0,La Tuilerie,31.0,24.4,0.0
1551360475.0,La Tuilerie,29.0,24.9,0.0
1551361401.0,La Tuilerie,29.0,24.3,0.0
1551362327.0,La Tuilerie,30.0,24.5,0.0
1551363254.0,La Tuilerie,28.0,24.5,0.0
1551364179.0,La Tuilerie,31.0,23.7,0.0
1551366031.0,La Tuilerie,29.0,24.2,0.0
1551366957.0,La Tuilerie,29.0,24.1,0.0
1551367884.0,La Tuilerie,30.0,23.7,0.0
1551369737.0,La Tuilerie,33.0,22.7,0.0
1551370663.0,La Tuilerie,36.0,21.5,0.0
1551371589.0,La Tuilerie,38.0,20.0,0.0
1551373442.0,La Tuilerie,42.0,18.3,0.0
1551374369.0,La Tuilerie,46.0,17.0,0.0
1551375295.0,La Tuilerie,49.0,16.0,0.0
1551376222.0,La Tuilerie,50.0,15.2,0.0
1551377148.0,La Tuilerie,51.0,14.6,0.0
1551378077.0,La Tuilerie,55.0,13.7,0.0
1551379004.0,La Tuilerie,54.0,13.5,0.0
1551379931.0,La Tuilerie,56.0,12.9,0.0
1551380858.0,La Tuilerie,59.0,12.3,0.0
1551381787.0,La Tuilerie,59.0,11.8,0.0
1551385499.0,La Tuilerie,59.0,11.2,0.0
1551391062.0,La Tuilerie,61.0,10.9,0.0
1551397551.0,La Tuilerie,67.0,8.6,0.0
1551404038.0,La Tuilerie,79.0,5.2,0.0
1551404966.0,La Tuilerie,79.0,5.7,0.0
1551406821.0,La Tuilerie,77.0,5.9,0.0
1551407748.0,La Tuilerie,79.0,5.4,0.0
1551408675.0,La Tuilerie,79.0,5.4,0.0
1551409603.0,La Tuilerie,80.0,5.4,0.0
1551410530.0,La Tuilerie,81.0,5.5,0.0
1551411457.0,La Tuilerie,80.0,5.9,0.0
1551412384.0,La Tuilerie,79.0,6.3,0.0
1551413311.0,La Tuilerie,76.0,7.3,0.0
1551414238.0,La Tuilerie,74.0,7.9,0.0
1551415167.0,La Tuilerie,72.0,8.2,0.0
1551416094.0,La Tuilerie,72.0,8.3,0.0
1551417021.0,La Tuilerie,72.0,8.3,0.0
1551418877.0,La Tuilerie,72.0,8.2,0.0
1551422589.0,La Tuilerie,77.0,7.2,0.0
1551423516.0,La Tuilerie,77.0,6.9,0.0
1551424443.0,La Tuilerie,77.0,7.2,0.0
1551425370.0,La Tuilerie,75.0,8.2,0.0
1551426297.0,La Tuilerie,72.0,9.3,0.0
1551427224.0,La Tuilerie,65.0,11.0,0.0
1551428150.0,La Tuilerie,65.0,12.0,0.0
1551429077.0,La Tuilerie,59.0,13.2,0.0
1551430005.0,La Tuilerie,57.0,13.7,0.0
1551430931.0,La Tuilerie,55.0,14.3,0.0
1551431857.0,La Tuilerie,54.0,15.0,0.0
