Timestamp,Station_Name,Humidity,Temperature,Precipitation
1551467541.0,Asport CAPRED,56.0,12.6,0.0
1551468448.0,Asport CAPRED,56.0,12.2,0.0
1551469355.0,Asport CAPRED,57.0,12.0,0.0
1551470263.0,Asport CAPRED,59.0,11.6,0.0
1551471171.0,Asport CAPRED,60.0,11.0,0.0
1551472079.0,Asport CAPRED,62.0,10.3,0.0
1551472987.0,Asport CAPRED,66.0,9.2,0.0
1551475713.0,Asport CAPRED,65.0,9.3,0.0
1551476620.0,Asport CAPRED,65.0,9.4,0.0
1551477530.0,Asport CAPRED,65.0,9.1,0.0
1551478438.0,Asport CAPRED,67.0,8.6,0.0
1551479346.0,Asport CAPRED,67.0,8.8,0.0
1551480254.0,Asport CAPRED,66.0,9.1,0.0
1551481163.0,Asport CAPRED,66.0,9.0,0.0
1551482070.0,Asport CAPRED,65.0,9.2,0.0
1551482980.0,Asport CAPRED,65.0,9.3,0.0
1551483889.0,Asport CAPRED,64.0,9.3,0.0
1551484800.0,Asport CAPRED,64.0,9.1,0.0
1551485709.0,Asport CAPRED,65.0,8.9,0.0
1551486617.0,Asport CAPRED,65.0,8.8,0.0
1551487526.0,Asport CAPRED,67.0,8.2,0.0
1551499348.0,Asport CAPRED,63.0,9.1,0.0
1551500256.0,Asport CAPRED,62.0,9.4,0.0
1551501164.0,Asport CAPRED,61.0,9.5,0.0
1551502073.0,Asport CAPRED,61.0,9.6,0.0
1551502982.0,Asport CAPRED,61.0,9.6,0.0
1551504804.0,Asport CAPRED,62.0,9.3,0.0
1551505714.0,Asport CAPRED,62.0,9.3,0.0
1551506626.0,Asport CAPRED,63.0,9.1,0.0
1551507536.0,Asport CAPRED,64.0,8.8,0.0
1551508445.0,Asport CAPRED,64.0,8.9,0.0
1551509353.0,Asport CAPRED,65.0,8.7,0.0
1551511174.0,Asport CAPRED,65.0,8.8,0.0
1551512083.0,Asport CAPRED,66.0,8.8,0.0
1551512992.0,Asport CAPRED,66.0,9.0,0.0
1551514810.0,Asport CAPRED,69.0,8.7,0.0
1551515718.0,Asport CAPRED,64.0,10.3,0.0
1551516626.0,Asport CAPRED,61.0,11.6,0.0
1551517534.0,Asport CAPRED,58.0,12.3,0.0
1551518440.0,Asport CAPRED,56.0,12.8,0.0
1551519346.0,Asport CAPRED,54.0,13.7,0.0
1551520254.0,Asport CAPRED,54.0,14.2,0.0
1551521161.0,Asport CAPRED,54.0,14.8,0.0
1551522068.0,Asport CAPRED,53.0,15.3,0.0
1551522974.0,Asport CAPRED,50.0,15.7,0.0
1551523881.0,Asport CAPRED,50.0,15.8,0.0
1551524787.0,Asport CAPRED,49.0,16.4,0.0
1551525694.0,Asport CAPRED,49.0,16.6,0.0
1551526602.0,Asport CAPRED,49.0,17.2,0.0
1551528420.0,Asport CAPRED,48.0,17.7,0.0
1551529326.0,Asport CAPRED,50.0,17.4,0.0
1551530233.0,Asport CAPRED,47.0,17.8,0.0
1551531140.0,Asport CAPRED,46.0,17.8,0.0
1551532049.0,Asport CAPRED,44.0,17.7,0.0
1551532955.0,Asport CAPRED,44.0,17.6,0.0
1551533863.0,Asport CAPRED,44.0,17.6,0.0
1551535677.0,Asport CAPRED,43.0,17.3,0.0
1551536583.0,Asport CAPRED,43.0,17.6,0.0
1551537489.0,Asport CAPRED,42.0,17.5,0.0
1551538396.0,Asport CAPRED,44.0,17.6,0.0
1551540213.0,Asport CAPRED,43.0,17.1,0.0
1551541121.0,Asport CAPRED,44.0,16.5,0.0
1551542028.0,Asport CAPRED,43.0,17.0,0.0
1551542934.0,Asport CAPRED,43.0,17.0,0.0
1551543842.0,Asport CAPRED,43.0,16.8,0.0
1551544748.0,Asport CAPRED,50.0,16.0,0.0
1551545656.0,Asport CAPRED,54.0,14.8,0.0
1551546563.0,Asport CAPRED,57.0,13.9,0.0
1551547470.0,Asport CAPRED,59.0,13.4,0.0
1551548379.0,Asport CAPRED,59.0,13.1,0.0
1551549287.0,Asport CAPRED,59.0,13.0,0.0
1551550195.0,Asport CAPRED,61.0,12.4,0.0
1551551102.0,Asport CAPRED,62.0,11.9,0.0
1551552011.0,Asport CAPRED,64.0,11.5,0.0
1551552919.0,Asport CAPRED,65.0,10.9,0.0
1551553827.0,Asport CAPRED,67.0,10.4,0.0
1551554736.0,Asport CAPRED,68.0,10.3,0.0
1551555643.0,Asport CAPRED,67.0,10.8,0.0
1551556553.0,Asport CAPRED,68.0,10.1,0.0
1551557461.0,Asport CAPRED,71.0,9.2,0.0
1551558371.0,Asport CAPRED,71.0,9.4,0.0
1551559279.0,Asport CAPRED,72.0,8.8,0.0
1551560188.0,Asport CAPRED,74.0,8.4,0.0
1551561098.0,Asport CAPRED,72.0,9.1,0.0
1551562007.0,Asport CAPRED,69.0,10.0,0.0
1551562915.0,Asport CAPRED,67.0,10.2,0.0
1551563824.0,Asport CAPRED,67.0,10.2,0.0
1551564732.0,Asport CAPRED,68.0,10.2,0.0
1551565642.0,Asport CAPRED,67.0,10.5,0.0
1551566550.0,Asport CAPRED,68.0,10.2,0.0
1551567459.0,Asport CAPRED,70.0,9.1,0.0
1551568368.0,Asport CAPRED,71.0,9.2,0.0
1551569277.0,Asport CAPRED,71.0,9.1,0.0
1551570186.0,Asport CAPRED,72.0,8.5,0.0
1551571096.0,Asport CAPRED,75.0,7.7,0.0
1551585652.0,Asport CAPRED,77.0,7.3,0.0
1551587470.0,Asport CAPRED,75.0,8.2,0.0
1551588381.0,Asport CAPRED,75.0,8.0,0.0
1551589290.0,Asport CAPRED,76.0,7.8,0.0
1551590200.0,Asport CAPRED,76.0,7.3,0.0
1551592019.0,Asport CAPRED,78.0,7.0,0.0
1551592929.0,Asport CAPRED,78.0,7.0,0.0
1551593839.0,Asport CAPRED,75.0,7.7,0.0
1551594747.0,Asport CAPRED,76.0,7.2,0.0
1551596567.0,Asport CAPRED,77.0,7.4,0.0
1551597477.0,Asport CAPRED,75.0,8.0,0.0
1551598386.0,Asport CAPRED,74.0,8.7,0.0
1551599295.0,Asport CAPRED,71.0,9.5,0.0
1551600204.0,Asport CAPRED,69.0,10.2,0.0
1551601113.0,Asport CAPRED,68.0,10.9,0.0
1551602021.0,Asport CAPRED,65.0,12.1,0.0
1551602928.0,Asport CAPRED,60.0,13.0,0.0
1551603835.0,Asport CAPRED,58.0,13.8,0.0
1551604743.0,Asport CAPRED,56.0,14.2,0.0
1551605649.0,Asport CAPRED,56.0,14.8,0.0
1551606555.0,Asport CAPRED,53.0,15.2,0.0
1551607462.0,Asport CAPRED,52.0,15.4,0.0
1551608369.0,Asport CAPRED,51.0,15.9,0.0
1551609277.0,Asport CAPRED,50.0,16.2,0.0
1551610184.0,Asport CAPRED,49.0,16.7,0.0
1551611091.0,Asport CAPRED,51.0,17.0,0.0
1551611998.0,Asport CAPRED,49.0,17.3,0.0
1551613811.0,Asport CAPRED,46.0,17.4,0.0
1551614719.0,Asport CAPRED,51.0,17.6,0.0
